names,len,word1,word2,Results_Google,Number_Hits_Google
Cudonia circinans,17,Cudonia,circinans,"Aproximadamente 17.600 resultados (0,52 segundos) ",17600
Cystoderma fallax,17,Cystoderma,fallax,"Aproximadamente 21.100 resultados (0,42 segundos) ",21100
Cystoderma terrei,17,Cystoderma,terrei,"Aproximadamente 4.770 resultados (0,36 segundos) ",4770
Daedalea quercina,17,Daedalea,quercina,"Aproximadamente 69.600 resultados (0,57 segundos) ",69600
Descolea maculata,17,Descolea,maculata,"Aproximadamente 3.420 resultados (0,43 segundos) ",3420
Descolea tenuipes,17,Descolea,tenuipes,"Aproximadamente 3.120 resultados (0,34 segundos) ",3120
Discina melaleuca,17,Discina,melaleuca,"Aproximadamente 43.400 resultados (0,45 segundos) ",43400
Entoloma cetratum,17,Entoloma,cetratum,"Aproximadamente 12.600 resultados (0,40 segundos) ",12600
Entoloma corvinum,17,Entoloma,corvinum,"Aproximadamente 8.570 resultados (0,35 segundos) ",8570
Entoloma euchroum,17,Entoloma,euchroum,"Aproximadamente 10.100 resultados (0,36 segundos) ",10100
Entoloma hirtipes,17,Entoloma,hirtipes,"Aproximadamente 19.800 resultados (0,36 segundos) ",19800
Entoloma sarcopum,17,Entoloma,sarcopum,"Aproximadamente 1.660 resultados (0,46 segundos) ",1660
Entoloma sericeum,17,Entoloma,sericeum,"Aproximadamente 26.000 resultados (0,37 segundos) ",26000
Entoloma sinuatum,17,Entoloma,sinuatum,"Aproximadamente 37.500 resultados (0,35 segundos) ",37500
Exidia glandulosa,17,Exidia,glandulosa,"Aproximadamente 92.900 resultados (0,51 segundos) ",92900
Exidia saccharina,17,Exidia,saccharina,"Aproximadamente 46.600 resultados (0,66 segundos) ",46600
Exidia thuretiana,17,Exidia,thuretiana,"Aproximadamente 74.500 resultados (0,60 segundos) ",74500
Fomes fomentarius,17,Fomes,fomentarius,"Aproximadamente 268.000 resultados (0,42 segundos) ",268000
Galerina paludosa,17,Galerina,paludosa,"Aproximadamente 76.100 resultados (0,41 segundos) ",76100
Galerina perplexa,17,Galerina,perplexa,"Aproximadamente 47.300 resultados (0,52 segundos) ",47300
Galerina sphagnum,17,Galerina,sphagnum,"Aproximadamente 62.500 resultados (0,61 segundos) ",62500
Ganoderma lucidum,17,Ganoderma,lucidum,"Aproximadamente 3.620.000 resultados (0,52 segundos) ",3620
Geastrum saccatum,17,Geastrum,saccatum,"Aproximadamente 67.900 resultados (0,36 segundos) ",67900
Geastrum striatum,17,Geastrum,striatum,"Aproximadamente 74.600 resultados (0,39 segundos) ",74600
Geoglossum barlae,17,Geoglossum,barlae,"Aproximadamente 3.550 resultados (0,48 segundos) ",3550
Geoglossum fallax,17,Geoglossum,fallax,"Aproximadamente 19.700 resultados (0,35 segundos) ",19700
Geopora arenicola,17,Geopora,arenicola,"Aproximadamente 11.700 resultados (0,34 segundos) ",11700
Gomphidius roseus,17,Gomphidius,roseus,"Aproximadamente 38.100 resultados (0,41 segundos) ",38100
Gyromitra perlata,17,Gyromitra,perlata,"Aproximadamente 15.100 resultados (0,36 segundos) ",15100
Helvella elastica,17,Helvella,elastica,"Aproximadamente 33.900 resultados (0,35 segundos) ",33900
Helvella juniperi,17,Helvella,juniperi,"Aproximadamente 9.890 resultados (0,25 segundos) ",9890
Helvella lacunosa,17,Helvella,lacunosa,"Aproximadamente 55.800 resultados (0,36 segundos) ",55800
Helvella leucopus,17,Helvella,leucopus,"Aproximadamente 19.300 resultados (0,32 segundos) ",19300
Helvella macropus,17,Helvella,macropus,"Aproximadamente 62.300 resultados (0,39 segundos) ",62300
Helvella queletii,17,Helvella,queletii,"Aproximadamente 40.900 resultados (0,36 segundos) ",40900
Hemimycena lactea,17,Hemimycena,lactea,"Aproximadamente 16.600 resultados (0,37 segundos) ",16600
Hygrocybe citrina,17,Hygrocybe,citrina,"Aproximadamente 90.500 resultados (0,47 segundos) ",90500
Hygrocybe ingrata,17,Hygrocybe,ingrata,"Aproximadamente 14.700 resultados (0,40 segundos) ",14700
Hygrocybe marchii,17,Hygrocybe,marchii,"Aproximadamente 11.600 resultados (0,38 segundos) ",11600
Hygrocybe miniata,17,Hygrocybe,miniata,"Aproximadamente 74.800 resultados (0,39 segundos) ",74800
Hygrocybe punicea,17,Hygrocybe,punicea,"Aproximadamente 29.300 resultados (0,33 segundos) ",29300
Hygrocybe tristis,17,Hygrocybe,tristis,"Aproximadamente 48.000 resultados (0,32 segundos) ",48000
Hygrocybe turunda,17,Hygrocybe,turunda,"Aproximadamente 17.200 resultados (0,34 segundos) ",17200
Hypoxylon rutilum,17,Hypoxylon,rutilum,"Aproximadamente 13.000 resultados (0,34 segundos) ",13000
Imperator torosus,17,Imperator,torosus,"Aproximadamente 153.000 resultados (0,42 segundos) ",153000
Inocybe fuscidula,17,Inocybe,fuscidula,"Aproximadamente 8.910 resultados (0,32 segundos) ",8910
Inocybe geophylla,17,Inocybe,geophylla,"Aproximadamente 66.400 resultados (0,39 segundos) ",66400
Inocybe posterula,17,Inocybe,posterula,"Aproximadamente 5.000 resultados (0,38 segundos) ",5000
Inocybe sambucina,17,Inocybe,sambucina,"Aproximadamente 7.250 resultados (0,44 segundos) ",7250
Inonotus dryadeus,17,Inonotus,dryadeus,"Aproximadamente 20.200 resultados (0,33 segundos) ",20200
Inonotus hispidus,17,Inonotus,hispidus,"Aproximadamente 83.000 resultados (0,34 segundos) ",83000
Laccaria fraterna,17,Laccaria,fraterna,"Aproximadamente 19.800 resultados (0,59 segundos) ",19800
Laccaria tortilis,17,Laccaria,tortilis,"Aproximadamente 37.300 resultados (0,36 segundos) ",37300
Lachnum virgineum,17,Lachnum,virgineum,"Aproximadamente 18.200 resultados (0,65 segundos) ",18200
Lactarius evosmus,17,Lactarius,evosmus,"Aproximadamente 17.300 resultados (0,40 segundos) ",17300
Lactarius fumosus,17,Lactarius,fumosus,"Aproximadamente 59.400 resultados (0,51 segundos) ",59400
Lactarius luridus,17,Lactarius,luridus,"Aproximadamente 76.200 resultados (0,39 segundos) ",76200
Lactarius musteus,17,Lactarius,musteus,"Aproximadamente 17.500 resultados (0,34 segundos) ",17500
Lactarius necator,17,Lactarius,necator,"Aproximadamente 60.900 resultados (0,37 segundos) ",60900
Lactarius quietus,17,Lactarius,quietus,"Aproximadamente 35.900 resultados (0,41 segundos) ",35900
Lactarius resimus,17,Lactarius,resimus,"Aproximadamente 22.300 resultados (0,34 segundos) ",22300
Lactarius rugatus,17,Lactarius,rugatus,"Aproximadamente 7.620 resultados (0,30 segundos) ",7620
Lactarius tabidus,17,Lactarius,tabidus,"Aproximadamente 27.000 resultados (0,36 segundos) ",27000
Lactarius vinosus,17,Lactarius,vinosus,"Aproximadamente 59.900 resultados (0,35 segundos) ",59900
Lactarius volemus,17,Lactarius,volemus,"Aproximadamente 49.800 resultados (0,35 segundos) ",49800
Lactarius zugazae,17,Lactarius,zugazae,"Aproximadamente 2.860 resultados (0,33 segundos) ",2860
Leccinum corsicum,17,Leccinum,corsicum,"Aproximadamente 5.770 resultados (0,35 segundos) ",5770
Leccinum vulpinum,17,Leccinum,vulpinum,"Aproximadamente 31.100 resultados (0,41 segundos) ",31100
Lentinus lepideus,17,Lentinus,lepideus,"Aproximadamente 81.100 resultados (0,37 segundos) ",81100
Lentinus tigrinus,17,Lentinus,tigrinus,"Aproximadamente 86.700 resultados (0,35 segundos) ",86700
Lenzites betulina,17,Lenzites,betulina,"Aproximadamente 42.000 resultados (0,53 segundos) ",42000
Leotia atrovirens,17,Leotia,atrovirens,"Aproximadamente 60.400 resultados (0,40 segundos) ",60400
Lepiota echinacea,17,Lepiota,echinacea,"Aproximadamente 143.000 resultados (0,59 segundos) ",143000
Lepiota ignicolor,17,Lepiota,ignicolor,"Aproximadamente 16.700 resultados (0,42 segundos) ",16700
Lepista nebularis,17,Lepista,nebularis,"Aproximadamente 90.500 resultados (0,38 segundos) ",90500
Lepista panaeolus,17,Lepista,panaeolus,"Aproximadamente 28.500 resultados (0,36 segundos) ",28500
Lepista personata,17,Lepista,personata,"Aproximadamente 81.800 resultados (0,40 segundos) ",81800
Leptoporus mollis,17,Leptoporus,mollis,"Aproximadamente 33.800 resultados (0,41 segundos) ",33800
Leucocybe connata,17,Leucocybe,connata,"Aproximadamente 7.000 resultados (0,52 segundos) ",7000
Limacella guttata,17,Limacella,guttata,"Aproximadamente 13.200 resultados (0,35 segundos) ",13200
Lopharia spadicea,17,Lopharia,spadicea,"Aproximadamente 3.150 resultados (0,44 segundos) ",3150
Lysurus cruciatus,17,Lysurus,cruciatus,"Aproximadamente 6.010 resultados (0,34 segundos) ",6010
Marasmius oreades,17,Marasmius,oreades,"Aproximadamente 98.400 resultados (0,44 segundos) ",98400
Morchella  conica,17,Morchella,conica,"Aproximadamente 166.000 resultados (0,55 segundos) ",166000
Morchella costata,17,Morchella,costata,"Aproximadamente 114.000 resultados (0,35 segundos) ",114000
Morchella rotunda,17,Morchella,rotunda,"Aproximadamente 233.000 resultados (0,55 segundos) ",233000
Mycena haematopus,17,Mycena,haematopus,"Aproximadamente 66.300 resultados (0,35 segundos) ",66300
Mycena polygramma,17,Mycena,polygramma,"Aproximadamente 24.100 resultados (0,35 segundos) ",24100
Myxomphalia maura,17,Myxomphalia,maura,"Aproximadamente 9.270 resultados (0,36 segundos) ",9270
Omphalina rosella,17,Omphalina,rosella,"Aproximadamente 8.090 resultados (0,33 segundos) ",8090
Paralepista gilva,17,Paralepista,gilva,"Aproximadamente 6.660 resultados (0,68 segundos) ",6660
Peziza succosella,17,Peziza,succosella,"Aproximadamente 81.700 resultados (0,42 segundos) ",81700
Peziza vesiculosa,17,Peziza,vesiculosa,"Aproximadamente 72.300 resultados (0,39 segundos) ",72300
Phallus impudicus,17,Phallus,impudicus,"Aproximadamente 195.000 resultados (0,42 segundos) ",195000
Pholiota alnicola,17,Pholiota,alnicola,"Aproximadamente 21.600 resultados (0,38 segundos) ",21600
Pholiota flammans,17,Pholiota,flammans,"Aproximadamente 28.900 resultados (0,37 segundos) ",28900
Pholiota lucifera,17,Pholiota,lucifera,"Aproximadamente 14.500 resultados (0,37 segundos) ",14500
Pholiota pinicola,17,Pholiota,pinicola,"Aproximadamente 55.200 resultados (0,41 segundos) ",55200
Pholiota populnea,17,Pholiota,populnea,"Aproximadamente 89.100 resultados (0,41 segundos) ",89100
Pholiotina aporos,17,Pholiotina,aporos,"Aproximadamente 5.390 resultados (0,44 segundos) ",5390
Pholiotina rugosa,17,Pholiotina,rugosa,"Aproximadamente 17.900 resultados (0,43 segundos) ",17900
Pilobolus kleinii,17,Pilobolus,kleinii,"Aproximadamente 7.550 resultados (0,77 segundos) ",7550
Pleurotus dryinus,17,Pleurotus,dryinus,"Aproximadamente 128.000 resultados (0,42 segundos) ",128000
Pleurotus eryngii,17,Pleurotus,eryngii,"Aproximadamente 2.210.000 resultados (0,51 segundos) ",2210
Pluteus petasatus,17,Pluteus,petasatus,"Aproximadamente 22.400 resultados (0,38 segundos) ",22400
Pluteus salicinus,17,Pluteus,salicinus,"Aproximadamente 40.900 resultados (0,44 segundos) ",40900
Psathyrella fatua,17,Psathyrella,fatua,"Aproximadamente 9.530 resultados (0,37 segundos) ",9530
Psilocybe montana,17,Psilocybe,montana,"Aproximadamente 493.000 resultados (0,45 segundos) ",493000
Ramaria largentii,17,Ramaria,largentii,"Aproximadamente 12.200 resultados (0,51 segundos) ",12200
Ramaria sanguinea,17,Ramaria,sanguinea,"Aproximadamente 96.000 resultados (0,41 segundos) ",96000
Rhodocybe  gemina,17,Rhodocybe,gemina,"Aproximadamente 11.100 resultados (0,37 segundos) ",11100
Rhodotus palmatus,17,Rhodotus,palmatus,"Aproximadamente 201.000 resultados (0,36 segundos) ",201000
Rosellinia aquila,17,Rosellinia,aquila,"Aproximadamente 120.000 resultados (0,52 segundos) ",120000
Rozites caperatus,17,Rozites,caperatus,"Aproximadamente 61.400 resultados (0,41 segundos) ",61400
Russula acrifolia,17,Russula,acrifolia,"Aproximadamente 16.100 resultados (0,44 segundos) ",16100
Russula aeruginea,17,Russula,aeruginea,"Aproximadamente 35.700 resultados (0,32 segundos) ",35700
Russula albonigra,17,Russula,albonigra,"Aproximadamente 62.100 resultados (0,37 segundos) ",62100
Russula decipiens,17,Russula,decipiens,"Aproximadamente 123.000 resultados (0,35 segundos) ",123000
Russula mesospora,17,Russula,mesospora,"Aproximadamente 3.440 resultados (0,48 segundos) ",3440
Russula mustelina,17,Russula,mustelina,"Aproximadamente 19.900 resultados (0,38 segundos) ",19900
Russula nigricans,17,Russula,nigricans,"Aproximadamente 115.000 resultados (0,34 segundos) ",115000
Russula parazurea,17,Russula,parazurea,"Aproximadamente 11.600 resultados (0,41 segundos) ",11600
Russula persicina,17,Russula,persicina,"Aproximadamente 13.400 resultados (0,35 segundos) ",13400
Russula puellaris,17,Russula,puellaris,"Aproximadamente 66.200 resultados (0,38 segundos) ",66200
Russula sanguinea,17,Russula,sanguinea,"Aproximadamente 81.600 resultados (0,36 segundos) ",81600
Russula veternosa,17,Russula,veternosa,"Aproximadamente 12.100 resultados (0,36 segundos) ",12100
Russula violeipes,17,Russula,violeipes,"Aproximadamente 27.900 resultados (0,33 segundos) ",27900
Russula virescens,17,Russula,virescens,"Aproximadamente 139.000 resultados (0,36 segundos) ",139000
Serpula lacrymans,17,Serpula,lacrymans,"Aproximadamente 101.000 resultados (0,48 segundos) ",101000
Spinellus fusiger,17,Spinellus,fusiger,"Aproximadamente 43.600 resultados (0,76 segundos) ",43600
Stemonitis  fusca,17,Stemonitis,fusca,"Aproximadamente 158.000 resultados (0,43 segundos) ",158000
Stropharia cyanea,17,Stropharia,cyanea,"Aproximadamente 68.600 resultados (0,44 segundos) ",68600
Suillus grevillei,17,Suillus,grevillei,"Aproximadamente 68.700 resultados (0,37 segundos) ",68700
Tephrocybe atrata,17,Tephrocybe,atrata,"Aproximadamente 6.370 resultados (0,44 segundos) ",6370
Terfezia arenaria,17,Terfezia,arenaria,"Aproximadamente 12.300 resultados (0,34 segundos) ",12300
Terfezia claveryi,17,Terfezia,claveryi,"Aproximadamente 16.000 resultados (0,39 segundos) ",16000
Terfezia magnusii,17,Terfezia,magnusii,"Aproximadamente 3.630 resultados (0,45 segundos) ",3630
Tremella aurantia,17,Tremella,aurantia,"Aproximadamente 80.600 resultados (0,36 segundos) ",80600
Tremella foliacea,17,Tremella,foliacea,"Aproximadamente 92.400 resultados (0,40 segundos) ",92400
Trichaptum hollii,17,Trichaptum,hollii,"Aproximadamente 1.690 resultados (0,39 segundos) ",1690
Trichia decipiens,17,Trichia,decipiens,"Aproximadamente 125.000 resultados (0,48 segundos) ",125000
Tricholoma focale,17,Tricholoma,focale,"Aproximadamente 267.000 resultados (0,38 segundos) ",267000
Tricholoma fulvum,17,Tricholoma,fulvum,"Aproximadamente 39.500 resultados (0,39 segundos) ",39500
Tricholoma ustale,17,Tricholoma,ustale,"Aproximadamente 34.000 resultados (0,40 segundos) ",34000
Tubaria conspersa,17,Tubaria,conspersa,"Aproximadamente 9.670 resultados (0,32 segundos) ",9670
Tuber cistophilum,17,Tuber,cistophilum,"Aproximadamente 2.960 resultados (0,36 segundos) ",2960
Tuber ferrugineum,17,Tuber,ferrugineum,"Aproximadamente 72.600 resultados (0,42 segundos) ",72600
Tuber macrosporum,17,Tuber,macrosporum,"Aproximadamente 18.700 resultados (0,40 segundos) ",18700
Tulostoma brumale,17,Tulostoma,brumale,"Aproximadamente 25.900 resultados (0,35 segundos) ",25900
Tylopilus felleus,17,Tylopilus,felleus,"Aproximadamente 58.600 resultados (0,38 segundos) ",58600
Typhula fistulosa,17,Typhula,fistulosa,"Aproximadamente 12.200 resultados (0,37 segundos) ",12200
Tyromyces albidus,17,Tyromyces,albidus,"Aproximadamente 5.950 resultados (0,32 segundos) ",5950
Tyromyces caesius,17,Tyromyces,caesius,"Aproximadamente 14.800 resultados (0,32 segundos) ",14800
Xerocomus lanatus,17,Xerocomus,lanatus,"Aproximadamente 33.800 resultados (0,49 segundos) ",33800
Xylaria hypoxylon,17,Xylaria,hypoxylon,"Aproximadamente 147.000 resultados (0,39 segundos) ",147000
Agaricus bernardii,18,Agaricus,bernardii,"Aproximadamente 53.900 resultados (0,39 segundos) ",53900
Agaricus bitorquis,18,Agaricus,bitorquis,"Aproximadamente 54.000 resultados (0,39 segundos) ",54000
Agaricus excellens,18,Agaricus,excellens,"Aproximadamente 62.600 resultados (0,40 segundos) ",62600
Agaricus hondensis,18,Agaricus,hondensis,"Aproximadamente 4.870 resultados (0,40 segundos) ",4870
Agaricus impudicus,18,Agaricus,impudicus,"Aproximadamente 51.000 resultados (0,35 segundos) ",51000
Agaricus litoralis,18,Agaricus,litoralis,"Aproximadamente 171.000 resultados (0,40 segundos) ",171000
Agaricus maleolens,18,Agaricus,maleolens,"Aproximadamente 5.200 resultados (0,41 segundos) ",5200
Agaricus nivescens,18,Agaricus,nivescens,"Aproximadamente 13.800 resultados (0,40 segundos) ",13800
Agaricus pampeanus,18,Agaricus,pampeanus,"Aproximadamente 8.020 resultados (0,48 segundos) ",8020
Agaricus silvicola,18,Agaricus,silvicola,"Aproximadamente 74.900 resultados (0,36 segundos) ",74900
Agrocybe arenicola,18,Agrocybe,arenicola,"Aproximadamente 7.850 resultados (0,34 segundos) ",7850
Albatrellus ovinus,18,Albatrellus,ovinus,"Aproximadamente 39.600 resultados (0,41 segundos) ",39600
Amanita albocreata,18,Amanita,albocreata,"Aproximadamente 80.300 resultados (0,53 segundos) ",80300
Amanita cothurnata,18,Amanita,cothurnata,"Aproximadamente 134.000 resultados (0,50 segundos) ",134000
Amanita flavoconia,18,Amanita,flavoconia,"Aproximadamente 18.800 resultados (0,37 segundos) ",18800
Amanita franchetii,18,Amanita,franchetii,"Aproximadamente 98.400 resultados (0,43 segundos) ",98400
Amanita junquillea,18,Amanita,junquillea,"Aproximadamente 20.000 resultados (0,38 segundos) ",20000
Amanita neoovoidea,18,Amanita,neoovoidea,"Aproximadamente 3.200 resultados (0,65 segundos) ",3200
Amanita pantherina,18,Amanita,pantherina,"Aproximadamente 220.000 resultados (0,39 segundos) ",220000
Amanita phalliodes,18,Amanita,phalliodes,"Aproximadamente 480.000 resultados (0,38 segundos) ",480000
Amanita phalloides,18,Amanita,phalloides,"Aproximadamente 480.000 resultados (0,31 segundos) ",480000
Amanita vittadinii,18,Amanita,vittadinii,"Aproximadamente 23.500 resultados (0,37 segundos) ",23500
Armillaria bulbosa,18,Armillaria,bulbosa,"Aproximadamente 42.000 resultados (0,44 segundos) ",42000
Armillaria ostoyae,18,Armillaria,ostoyae,"Aproximadamente 110.000 resultados (0,40 segundos) ",110000
Bisporella citrina,18,Bisporella,citrina,"Aproximadamente 42.400 resultados (0,44 segundos) ",42400
Bjerkandera adusta,18,Bjerkandera,adusta,"Aproximadamente 145.000 resultados (0,35 segundos) ",145000
Bjerkandera fumosa,18,Bjerkandera,fumosa,"Aproximadamente 67.000 resultados (0,36 segundos) ",67000
Bolbitius titubans,18,Bolbitius,titubans,"Aproximadamente 38.800 resultados (0,37 segundos) ",38800
Boletus aestivalis,18,Boletus,aestivalis,"Aproximadamente 65.000 resultados (0,50 segundos) ",65000
Boletus caucasicus,18,Boletus,caucasicus,"Aproximadamente 8.330 resultados (0,39 segundos) ",8330
Boletus erythropus,18,Boletus,erythropus,"Aproximadamente 80.300 resultados (0,39 segundos) ",80300
Boletus pinophilus,18,Boletus,pinophilus,"Aproximadamente 135.000 resultados (0,41 segundos) ",135000
Bovista nigrescens,18,Bovista,nigrescens,"Aproximadamente 74.000 resultados (0,65 segundos) ",74000
Bulgaria inquinans,18,Bulgaria,inquinans,"Aproximadamente 63.800 resultados (0,41 segundos) ",63800
Calocybe alpestris,18,Calocybe,alpestris,"Aproximadamente 6.610 resultados (0,43 segundos) ",6610
Caloscypha fulgens,18,Caloscypha,fulgens,"Aproximadamente 33.400 resultados (0,43 segundos) ",33400
Ciboria batschiana,18,Ciboria,batschiana,"Aproximadamente 6.190 resultados (0,40 segundos) ",6190
Claviceps purpurea,18,Claviceps,purpurea,"Aproximadamente 314.000 resultados (0,39 segundos) ",314000
Clavulina cristata,18,Clavulina,cristata,"Aproximadamente 79.600 resultados (0,28 segundos) ",79600
Clitocybe clavipes,18,Clitocybe,clavipes,"Aproximadamente 60.900 resultados (0,43 segundos) ",60900
Clitocybe dealbata,18,Clitocybe,dealbata,"Aproximadamente 33.900 resultados (0,35 segundos) ",33900
Clitocybe diatreta,18,Clitocybe,diatreta,"Aproximadamente 6.440 resultados (0,34 segundos) ",6440
Clitocybe fragrans,18,Clitocybe,fragrans,"Aproximadamente 35.500 resultados (0,30 segundos) ",35500
Clitocybe geotropa,18,Clitocybe,geotropa,"Aproximadamente 42.700 resultados (0,38 segundos) ",42700
Clitocybe inornata,18,Clitocybe,inornata,"Aproximadamente 15.800 resultados (0,36 segundos) ",15800
Clitocybe rivulosa,18,Clitocybe,rivulosa,"Aproximadamente 21.100 resultados (0,37 segundos) ",21100
Clitocybe sinopica,18,Clitocybe,sinopica,"Aproximadamente 9.790 resultados (0,36 segundos) ",9790
Clitocybe vibecina,18,Clitocybe,vibecina,"Aproximadamente 13.900 resultados (0,39 segundos) ",13900
Clitopilus geminus,18,Clitopilus,geminus,"Aproximadamente 6.700 resultados (0,41 segundos) ",6700
Collybia butyracea,18,Collybia,butyracea,"Aproximadamente 36.600 resultados (0,49 segundos) ",36600
Collybia confluens,18,Collybia,confluens,"Aproximadamente 101.000 resultados (0,37 segundos) ",101000
Collybia dryophila,18,Collybia,dryophila,"Aproximadamente 51.800 resultados (0,41 segundos) ",51800
Coltricia perennis,18,Coltricia,perennis,"Aproximadamente 74.000 resultados (0,38 segundos) ",74000
Conocybe pilosella,18,Conocybe,pilosella,"Aproximadamente 8.870 resultados (0,52 segundos) ",8870
Conocybe subovalis,18,Conocybe,subovalis,"Aproximadamente 4.140 resultados (0,33 segundos) ",4140
Coprinellus curtus,18,Coprinellus,curtus,"Aproximadamente 301.000 resultados (0,47 segundos) ",301000
Coprinus auricomus,18,Coprinus,auricomus,"Aproximadamente 12.700 resultados (0,50 segundos) ",12700
Coprinus impatiens,18,Coprinus,impatiens,"Aproximadamente 130.000 resultados (0,45 segundos) ",130000
Coprinus truncorum,18,Coprinus,truncorum,"Aproximadamente 94.500 resultados (0,55 segundos) ",94500
Cordyceps capitata,18,Cordyceps,capitata,"Aproximadamente 67.700 resultados (0,62 segundos) ",67700
Cortinarius mairei,18,Cortinarius,mairei,"Aproximadamente 25.100 resultados (0,40 segundos) ",25100
Cortinarius olidus,18,Cortinarius,olidus,"Aproximadamente 26.800 resultados (0,37 segundos) ",26800
Cortinarius torvus,18,Cortinarius,torvus,"Aproximadamente 24.700 resultados (0,42 segundos) ",24700
Cortinarius vernus,18,Cortinarius,vernus,"Aproximadamente 11.600 resultados (0,35 segundos) ",11600
Crepidotus caspari,18,Crepidotus,caspari,"Aproximadamente 5.730 resultados (0,41 segundos) ",5730
Crepidotus cesatii,18,Crepidotus,cesatii,"Aproximadamente 30.300 resultados (0,41 segundos) ",30300
Crinipellis zonata,18,Crinipellis,zonata,"Aproximadamente 49.500 resultados (0,37 segundos) ",49500
Cyathus stercoreus,18,Cyathus,stercoreus,"Aproximadamente 71.300 resultados (0,40 segundos) ",71300
Cyclocybe aegerita,18,Cyclocybe,aegerita,"Aproximadamente 21.400 resultados (0,45 segundos) ",21400
Cystoderma jasonis,18,Cystoderma,jasonis,"Aproximadamente 8.410 resultados (0,44 segundos) ",8410
Cyttaria espinosae,18,Cyttaria,espinosae,"Aproximadamente 11.900 resultados (0,67 segundos) ",11900
Daldinia vernicosa,18,Daldinia,vernicosa,"Aproximadamente 8.040 resultados (0,40 segundos) ",8040
Endogone lactiflua,18,Endogone,lactiflua,"Aproximadamente 8.270 resultados (0,43 segundos) ",8270
Entoloma clypeatum,18,Entoloma,clypeatum,"Aproximadamente 40.200 resultados (0,40 segundos) ",40200
Entoloma nidorosum,18,Entoloma,nidorosum,"Aproximadamente 13.700 resultados (0,41 segundos) ",13700
Entoloma niphoides,18,Entoloma,niphoides,"Aproximadamente 5.120 resultados (0,36 segundos) ",5120
Fistulina hepatica,18,Fistulina,hepatica,"Aproximadamente 193.000 resultados (0,39 segundos) ",193000
Galerina marginata,18,Galerina,marginata,"Aproximadamente 135.000 resultados (0,36 segundos) ",135000
Ganoderma australe,18,Ganoderma,australe,"Aproximadamente 77.100 resultados (0,36 segundos) ",77100
Ganoderma carnosum,18,Ganoderma,carnosum,"Aproximadamente 23.500 resultados (0,49 segundos) ",23500
Geastrum campestre,18,Geastrum,campestre,"Aproximadamente 25.700 resultados (0,45 segundos) ",25700
Geastrum coronatum,18,Geastrum,coronatum,"Aproximadamente 66.000 resultados (0,64 segundos) ",66000
Geastrum rufescens,18,Geastrum,rufescens,"Aproximadamente 76.500 resultados (0,33 segundos) ",76500
Geoglossum glabrum,18,Geoglossum,glabrum,"Aproximadamente 53.500 resultados (0,47 segundos) ",53500
Geopora sumneriana,18,Geopora,sumneriana,"Aproximadamente 8.900 resultados (0,42 segundos) ",8900
Gliophorus reginae,18,Gliophorus,reginae,"Aproximadamente 48.200 resultados (0,36 segundos) ",48200
Glomus macrocarpum,18,Glomus,macrocarpum,"Aproximadamente 36.100 resultados (0,34 segundos) ",36100
Grandinia quercina,18,Grandinia,quercina,"Aproximadamente 3.990 resultados (0,42 segundos) ",3990
Gymnopilus suberis,18,Gymnopilus,suberis,"Aproximadamente 8.890 resultados (0,36 segundos) ",8890
Gymnopus confluens,18,Gymnopus,confluens,"Aproximadamente 88.600 resultados (0,38 segundos) ",88600
Gymnopus peronatus,18,Gymnopus,peronatus,"Aproximadamente 28.800 resultados (0,40 segundos) ",28800
Hebeloma leucosarx,18,Hebeloma,leucosarx,"Aproximadamente 6.110 resultados (0,39 segundos) ",6110
Hebeloma radicosum,18,Hebeloma,radicosum,"Aproximadamente 31.300 resultados (0,41 segundos) ",31300
Helvella costifera,18,Helvella,costifera,"Aproximadamente 63.900 resultados (0,40 segundos) ",63900
Helvella dissingii,18,Helvella,dissingii,"Aproximadamente 2.130 resultados (0,44 segundos) ",2130
Helvella dryophila,18,Helvella,dryophila,"Aproximadamente 19.000 resultados (0,37 segundos) ",19000
Helvella ephippium,18,Helvella,ephippium,"Aproximadamente 27.300 resultados (0,41 segundos) ",27300
Helvella stevensii,18,Helvella,stevensii,"Aproximadamente 4.390 resultados (0,36 segundos) ",4390
Hericium cirrhatum,18,Hericium,cirrhatum,"Aproximadamente 23.100 resultados (0,40 segundos) ",23100
Hericium erinaceus,18,Hericium,erinaceus,"Aproximadamente 562.000 resultados (0,47 segundos) ",562000
Hydnangium carneum,18,Hydnangium,carneum,"Aproximadamente 8.350 resultados (0,44 segundos) ",8350
Hydnotrya tulasnei,18,Hydnotrya,tulasnei,"Aproximadamente 14.400 resultados (0,48 segundos) ",14400
Hygrocybe coccinea,18,Hygrocybe,coccinea,"Aproximadamente 98.200 resultados (0,52 segundos) ",98200
Hygrocybe obrussea,18,Hygrocybe,obrussea,"Aproximadamente 5.460 resultados (0,37 segundos) ",5460
Hygrocybe virginea,18,Hygrocybe,virginea,"Aproximadamente 14.700 resultados (0,37 segundos) ",14700
Hygrophorus aureus,18,Hygrophorus,aureus,"Aproximadamente 63.600 resultados (0,46 segundos) ",63600
Hygrophorus cossus,18,Hygrophorus,cossus,"Aproximadamente 19.400 resultados (0,40 segundos) ",19400
Inocybe erubescens,18,Inocybe,erubescens,"Aproximadamente 102.000 resultados (0,46 segundos) ",102000
Inocybe flocculosa,18,Inocybe,flocculosa,"Aproximadamente 14.500 resultados (0,38 segundos) ",14500
