names,word1,word2,Results_Google,Number_Hits_Google
Coriolopsis gallica,Coriolopsis,gallica,"Aproximadamente 25.000 resultados (0,43 segundos) ",25000.0
Coriolus fibula,Coriolus,fibula,"Aproximadamente 6.510 resultados (0,55 segundos) ",6510.0
Corticium roseum,Corticium,roseum,"Aproximadamente 22.800 resultados (0,39 segundos) ",22800.0
Cortinarius,Cortinarius,,"Aproximadamente 289.000 resultados (0,38 segundos) ",289000.0
Cortinarius alboviolaceus,Cortinarius,alboviolaceus,"Aproximadamente 41.600 resultados (0,39 segundos) ",41600.0
Cortinarius aleuriosmus,Cortinarius,aleuriosmus,"Aproximadamente 4.620 resultados (0,35 segundos) ",4620.0
Cortinarius allutus,Cortinarius,allutus,"Aproximadamente 10.100 resultados (0,58 segundos) ",10100.0
Cortinarius anomalus,Cortinarius,anomalus,"Aproximadamente 23.200 resultados (0,35 segundos) ",23200.0
Cortinarius anserinus,Cortinarius,anserinus,"Aproximadamente 10.500 resultados (0,38 segundos) ",10500.0
Cortinarius arcanus,Cortinarius,arcanus,"Aproximadamente 2.420 resultados (0,30 segundos) ",2420.0
Cortinarius armillatus,Cortinarius,armillatus,"Aproximadamente 41.500 resultados (0,41 segundos) ",41500.0
Cortinarius assiduus,Cortinarius,assiduus,"Aproximadamente 5.650 resultados (0,36 segundos) ",5650.0
Cortinarius atrovirens,Cortinarius,atrovirens,"Aproximadamente 71.600 resultados (0,37 segundos) ",71600.0
Cortinarius azureus,Cortinarius,azureus,"Aproximadamente 69.300 resultados (0,36 segundos) ",69300.0
Cortinarius balteatocumatilis,Cortinarius,balteatocumatilis,"Aproximadamente 15.900 resultados (0,43 segundos) ",15900.0
Cortinarius balteatus,Cortinarius,balteatus,"Aproximadamente 31.100 resultados (0,43 segundos) ",31100.0
Cortinarius bicolor,Cortinarius,bicolor,"Aproximadamente 83.700 resultados (0,37 segundos) ",83700.0
Cortinarius bolaris,Cortinarius,bolaris,"Aproximadamente 22.900 resultados (0,33 segundos) ",22900.0
Cortinarius brunneus,Cortinarius,brunneus,"Aproximadamente 46.700 resultados (0,34 segundos) ",46700.0
Cortinarius caerulescens,Cortinarius,caerulescens,"Aproximadamente 66.600 resultados (0,48 segundos) ",66600.0
Cortinarius caligatus,Cortinarius,caligatus,"Aproximadamente 5.610 resultados (0,41 segundos) ",5610.0
Cortinarius callisteus,Cortinarius,callisteus,"Aproximadamente 12.700 resultados (0,40 segundos) ",12700.0
Cortinarius calochrous,Cortinarius,calochrous,"Aproximadamente 8.170 resultados (0,50 segundos) ",8170.0
Cortinarius camphoratus,Cortinarius,camphoratus,"Aproximadamente 49.300 resultados (0,41 segundos) ",49300.0
Cortinarius caperatus,Cortinarius,caperatus,"Aproximadamente 219.000 resultados (0,41 segundos) ",219000.0
Cortinarius castaneus,Cortinarius,castaneus,"Aproximadamente 84.800 resultados (0,38 segundos) ",84800.0
Cortinarius causticus,Cortinarius,causticus,"Aproximadamente 7.570 resultados (0,41 segundos) ",7570.0
Cortinarius cephalixus,Cortinarius,cephalixus,"Aproximadamente 7.550 resultados (0,39 segundos) ",7550.0
Cortinarius cinnabarinus,Cortinarius,cinnabarinus,"Aproximadamente 61.400 resultados (0,36 segundos) ",61400.0
Cortinarius cinnamomeus,Cortinarius,cinnamomeus,"Aproximadamente 66.100 resultados (0,35 segundos) ",66100.0
Cortinarius claricolor,Cortinarius,claricolor,"Aproximadamente 17.200 resultados (0,37 segundos) ",17200.0
Cortinarius collinitus,Cortinarius,collinitus,"Aproximadamente 48.600 resultados (0,39 segundos) ",48600.0
Cortinarius conicus,Cortinarius,conicus,"Aproximadamente 44.800 resultados (0,39 segundos) ",44800.0
Cortinarius cotoneus,Cortinarius,cotoneus,"Aproximadamente 12.800 resultados (0,36 segundos) ",12800.0
Cortinarius croceocaeruleus,Cortinarius,croceocaeruleus,"Aproximadamente 5.770 resultados (0,41 segundos) ",5770.0
Cortinarius cruentus,Cortinarius,cruentus,"Aproximadamente 44.700 resultados (0,39 segundos) ",44700.0
Cortinarius cumatilis,Cortinarius,cumatilis,"Aproximadamente 13.200 resultados (0,49 segundos) ",13200.0
Cortinarius cupreorufus,Cortinarius,cupreorufus,"Aproximadamente 5.960 resultados (0,45 segundos) ",5960.0
Cortinarius cyanites,Cortinarius,cyanites,"Aproximadamente 55.700 resultados (0,40 segundos) ",55700.0
Cortinarius dibaphus,Cortinarius,dibaphus,"Aproximadamente 7.950 resultados (0,35 segundos) ",7950.0
Cortinarius duracinus,Cortinarius,duracinus,"Aproximadamente 9.610 resultados (0,37 segundos) ",9610.0
Cortinarius eburneus,Cortinarius,eburneus,"Aproximadamente 29.600 resultados (0,44 segundos) ",29600.0
Cortinarius elatior,Cortinarius,elatior,"Aproximadamente 27.000 resultados (0,36 segundos) ",27000.0
Cortinarius elegantissimus,Cortinarius,elegantissimus,"Aproximadamente 11.100 resultados (0,37 segundos) ",11100.0
Cortinarius gentilis,Cortinarius,gentilis,"Aproximadamente 24.900 resultados (0,33 segundos) ",24900.0
Cortinarius glandicolor,Cortinarius,glandicolor,"Aproximadamente 8.210 resultados (0,38 segundos) ",8210.0
Cortinarius glaucopus,Cortinarius,glaucopus,"Aproximadamente 72.600 resultados (0,39 segundos) ",72600.0
Cortinarius gracilior,Cortinarius,gracilior,"Aproximadamente 45.200 resultados (0,32 segundos) ",45200.0
Cortinarius herculeus,Cortinarius,herculeus,"Aproximadamente 214.000 resultados (0,43 segundos) ",214000.0
Cortinarius hinnuleus,Cortinarius,hinnuleus,"Aproximadamente 22.900 resultados (0,39 segundos) ",22900.0
Cortinarius humicola,Cortinarius,humicola,"Aproximadamente 10.200 resultados (0,37 segundos) ",10200.0
Cortinarius impolitus,Cortinarius,impolitus,"Aproximadamente 15.100 resultados (0,36 segundos) ",15100.0
Cortinarius inexspectatus,Cortinarius,inexspectatus,"Aproximadamente 1.160 resultados (0,35 segundos) ",1160.0
Cortinarius infractus,Cortinarius,infractus,"Aproximadamente 36.500 resultados (0,48 segundos) ",36500.0
Cortinarius ionochlorus,Cortinarius,ionochlorus,"Aproximadamente 8.590 resultados (0,40 segundos) ",8590.0
Cortinarius limonius,Cortinarius,limonius,"Aproximadamente 277.000 resultados (0,67 segundos) ",277000.0
Cortinarius lividoviolaceus,Cortinarius,lividoviolaceus,"Aproximadamente 4.230 resultados (0,60 segundos) ",4230.0
Cortinarius mairei,Cortinarius,mairei,"Aproximadamente 25.100 resultados (0,40 segundos) ",25100.0
Cortinarius malicorius,Cortinarius,malicorius,"Aproximadamente 14.000 resultados (0,37 segundos) ",14000.0
Cortinarius mirandus,Cortinarius,mirandus,"Aproximadamente 937 resultados (0,36 segundos) ",0.0
Cortinarius mucifloides,Cortinarius,mucifloides,"Aproximadamente 1.370 resultados (0,33 segundos) ",1370.0
Cortinarius mucosus,Cortinarius,mucosus,"Aproximadamente 228.000 resultados (0,36 segundos) ",228000.0
Cortinarius multiformis,Cortinarius,multiformis,"Aproximadamente 23.200 resultados (0,49 segundos) ",23200.0
Cortinarius nemorosus,Cortinarius,nemorosus,"Aproximadamente 3.020 resultados (0,42 segundos) ",3020.0
Cortinarius obtusus,Cortinarius,obtusus,"Aproximadamente 47.300 resultados (0,52 segundos) ",47300.0
Cortinarius ochroleucus,Cortinarius,ochroleucus,"Aproximadamente 52.400 resultados (0,33 segundos) ",52400.0
Cortinarius ochropallidus,Cortinarius,ochropallidus,"Aproximadamente 1.860 resultados (0,37 segundos) ",1860.0
Cortinarius odoratus,Cortinarius,odoratus,"Aproximadamente 55.800 resultados (0,43 segundos) ",55800.0
Cortinarius odorifer,Cortinarius,odorifer,"Aproximadamente 24.000 resultados (0,38 segundos) ",24000.0
Cortinarius olidus,Cortinarius,olidus,"Aproximadamente 26.800 resultados (0,37 segundos) ",26800.0
Cortinarius orellanoides,Cortinarius,orellanoides,"Aproximadamente 5.780 resultados (0,39 segundos) ",5780.0
Cortinarius orellanus,Cortinarius,orellanus,"Aproximadamente 41.200 resultados (0,33 segundos) ",41200.0
Cortinarius palustris,Cortinarius,palustris,"Aproximadamente 82.500 resultados (0,38 segundos) ",82500.0
Cortinarius percomis,Cortinarius,percomis,"Aproximadamente 10.200 resultados (0,41 segundos) ",10200.0
Cortinarius phoeniceus,Cortinarius,phoeniceus,"Aproximadamente 8.820 resultados (0,42 segundos) ",8820.0
Cortinarius polymorphus,Cortinarius,polymorphus,"Aproximadamente 219.000 resultados (0,48 segundos) ",219000.0
Cortinarius praestans,Cortinarius,praestans,"Aproximadamente 34.700 resultados (0,44 segundos) ",34700.0
Cortinarius privignoides,Cortinarius,privignoides,"Aproximadamente 9.340 resultados (0,40 segundos) ",9340.0
Cortinarius privignus,Cortinarius,privignus,"Aproximadamente 5.940 resultados (0,43 segundos) ",5940.0
Cortinarius purpurascens,Cortinarius,purpurascens,"Aproximadamente 60.300 resultados (0,33 segundos) ",60300.0
Cortinarius rapaceus,Cortinarius,rapaceus,"Aproximadamente 19.600 resultados (0,35 segundos) ",19600.0
Cortinarius rickenianus,Cortinarius,rickenianus,"Aproximadamente 2.630 resultados (0,40 segundos) ",2630.0
Cortinarius rubicundulus,Cortinarius,rubicundulus,"Aproximadamente 19.400 resultados (0,36 segundos) ",19400.0
Cortinarius rufoolivaceus,Cortinarius,rufoolivaceus,"Aproximadamente 15.700 resultados (0,39 segundos) ",15700.0
Cortinarius salor,Cortinarius,salor,"Aproximadamente 22.100 resultados (0,38 segundos) ",22100.0
Cortinarius saturninus,Cortinarius,saturninus,"Aproximadamente 12.000 resultados (0,36 segundos) ",12000.0
Cortinarius scobinaceus,Cortinarius,scobinaceus,"Aproximadamente 2.800 resultados (0,37 segundos) ",2800.0
Cortinarius smithii,Cortinarius,smithii,"Aproximadamente 55.900 resultados (0,36 segundos) ",55900.0
Cortinarius sodagnitus,Cortinarius,sodagnitus,"Aproximadamente 13.200 resultados (0,39 segundos) ",13200.0
Cortinarius splendens,Cortinarius,splendens,"Aproximadamente 83.100 resultados (0,37 segundos) ",83100.0
Cortinarius suaveolens,Cortinarius,suaveolens,"Aproximadamente 73.100 resultados (0,32 segundos) ",73100.0
Cortinarius talus,Cortinarius,talus,"Aproximadamente 44.600 resultados (0,41 segundos) ",44600.0
Cortinarius torvus,Cortinarius,torvus,"Aproximadamente 24.700 resultados (0,42 segundos) ",24700.0
Cortinarius triformis,Cortinarius,triformis,"Aproximadamente 37.200 resultados (0,36 segundos) ",37200.0
Cortinarius triumphans,Cortinarius,triumphans,"Aproximadamente 29.300 resultados (0,41 segundos) ",29300.0
Cortinarius trivialis,Cortinarius,trivialis,"Aproximadamente 50.600 resultados (0,37 segundos) ",50600.0
Cortinarius tubarius,Cortinarius,tubarius,"Aproximadamente 5.170 resultados (0,36 segundos) ",5170.0
Cortinarius turgidus,Cortinarius,turgidus,"Aproximadamente 49.800 resultados (0,39 segundos) ",49800.0
Cortinarius turmalis,Cortinarius,turmalis,"Aproximadamente 6.030 resultados (0,38 segundos) ",6030.0
Cortinarius variecolor,Cortinarius,variecolor,"Aproximadamente 11.500 resultados (0,44 segundos) ",11500.0
Cortinarius variicolor,Cortinarius,variicolor,"Aproximadamente 26.600 resultados (0,41 segundos) ",26600.0
Cortinarius variiformis,Cortinarius,variiformis,"Aproximadamente 9.810 resultados (0,37 segundos) ",9810.0
Cortinarius venetus,Cortinarius,venetus,"Aproximadamente 10.700 resultados (0,44 segundos) ",10700.0
Cortinarius veregregius,Cortinarius,veregregius,"Aproximadamente 6.600 resultados (0,43 segundos) ",6600.0
Cortinarius vernus,Cortinarius,vernus,"Aproximadamente 11.600 resultados (0,35 segundos) ",11600.0
Cortinarius vibratilis,Cortinarius,vibratilis,"Aproximadamente 13.300 resultados (0,37 segundos) ",13300.0
Cortinarius violaceus,Cortinarius,violaceus,"Aproximadamente 96.300 resultados (0,59 segundos) ",96300.0
Cortinarius volvatus,Cortinarius,volvatus,"Aproximadamente 15.200 resultados (0,45 segundos) ",15200.0
Cortinarius vulpinus,Cortinarius,vulpinus,"Aproximadamente 78.900 resultados (0,36 segundos) ",78900.0
Cortinarius xanthophyllus,Cortinarius,xanthophyllus,"Aproximadamente 8.490 resultados (0,40 segundos) ",8490.0
Coryne dubia,Coryne,dubia,"Aproximadamente 8.750 resultados (0,38 segundos) ",8750.0
Craterellus cornucopioides,Craterellus,cornucopioides,"Aproximadamente 116.000 resultados (0,35 segundos) ",116000.0
Craterellus lutescens,Craterellus,lutescens,"Aproximadamente 98.900 resultados (0,43 segundos) ",98900.0
Craterellus sinuosus,Craterellus,sinuosus,"Aproximadamente 37.700 resultados (0,38 segundos) ",37700.0
Craterellus tubaeformis,Craterellus,tubaeformis,"Aproximadamente 58.700 resultados (0,45 segundos) ",58700.0
Creolophus cirrhatus,Creolophus,cirrhatus,"Aproximadamente 10.500 resultados (0,51 segundos) ",10500.0
Crepidotus applanatus,Crepidotus,applanatus,"Aproximadamente 108.000 resultados (0,46 segundos) ",108000.0
Crepidotus autochthonus,Crepidotus,autochthonus,"Aproximadamente 3.420 resultados (0,39 segundos) ",3420.0
Crepidotus caspari,Crepidotus,caspari,"Aproximadamente 5.730 resultados (0,41 segundos) ",5730.0
Crepidotus cesatii,Crepidotus,cesatii,"Aproximadamente 30.300 resultados (0,41 segundos) ",30300.0
Crepidotus crocophyllus,Crepidotus,crocophyllus,"Aproximadamente 102.000 resultados (0,45 segundos) ",102000.0
Crepidotus fragilis,Crepidotus,fragilis,"Aproximadamente 84.600 resultados (0,32 segundos) ",84600.0
Crepidotus herbarum,Crepidotus,herbarum,"Aproximadamente 26.900 resultados (0,69 segundos) ",26900.0
Crepidotus luteolus,Crepidotus,luteolus,"Aproximadamente 19.700 resultados (0,54 segundos) ",19700.0
Crepidotus mollis,Crepidotus,mollis,"Aproximadamente 112.000 resultados (0,51 segundos) ",112000.0
Crepidotus variabilis,Crepidotus,variabilis,"Aproximadamente 92.300 resultados (0,38 segundos) ",92300.0
Crepidotus versutus,Crepidotus,versutus,"Aproximadamente 51.000 resultados (0,53 segundos) ",51000.0
Crinipellis corticalis,Crinipellis,corticalis,"Aproximadamente 43.200 resultados (0,40 segundos) ",43200.0
Crinipellis scabella,Crinipellis,scabella,"Aproximadamente 59.100 resultados (0,43 segundos) ",59100.0
Crinipellis zonata,Crinipellis,zonata,"Aproximadamente 49.500 resultados (0,37 segundos) ",49500.0
Crucibulum laeve,Crucibulum,laeve,"Aproximadamente 56.500 resultados (0,51 segundos) ",56500.0
Cudonia circinans,Cudonia,circinans,"Aproximadamente 17.600 resultados (0,52 segundos) ",17600.0
Cudonia confusa,Cudonia,confusa,"Aproximadamente 6.960 resultados (0,38 segundos) ",6960.0
Cuphophyllus flavipes,Cuphophyllus,flavipes,"Aproximadamente 7.520 resultados (0,44 segundos) ",7520.0
Cuphophyllus pratensis,Cuphophyllus,pratensis,"Aproximadamente 26.900 resultados (0,41 segundos) ",26900.0
Cuphophyllus virgineus,Cuphophyllus,virgineus,"Aproximadamente 25.800 resultados (0,45 segundos) ",25800.0
Cyathus olla,Cyathus,olla,"Aproximadamente 66.900 resultados (0,63 segundos) ",66900.0
Cyathus stercoreus,Cyathus,stercoreus,"Aproximadamente 71.300 resultados (0,40 segundos) ",71300.0
Cyathus striatus,Cyathus,striatus,"Aproximadamente 118.000 resultados (0,36 segundos) ",118000.0
Cyclocybe aegerita,Cyclocybe,aegerita,"Aproximadamente 21.400 resultados (0,45 segundos) ",21400.0
Cyclocybe cylindracea,Cyclocybe,cylindracea,"Aproximadamente 15.200 resultados (0,42 segundos) ",15200.0
Cystoderma ambrosii,Cystoderma,ambrosii,"Aproximadamente 3.580 resultados (0,34 segundos) ",3580.0
Cystoderma amianthinum,Cystoderma,amianthinum,"Aproximadamente 31.100 resultados (0,35 segundos) ",31100.0
Cystoderma carcharias,Cystoderma,carcharias,"Aproximadamente 20.300 resultados (0,39 segundos) ",20300.0
Cystoderma fallax,Cystoderma,fallax,"Aproximadamente 21.100 resultados (0,42 segundos) ",21100.0
Cystoderma granulosum,Cystoderma,granulosum,"Aproximadamente 15.000 resultados (0,38 segundos) ",15000.0
Cystoderma haematites,Cystoderma,haematites,"Aproximadamente 1.580 resultados (0,64 segundos) ",1580.0
Cystoderma jasonis,Cystoderma,jasonis,"Aproximadamente 8.410 resultados (0,44 segundos) ",8410.0
Cystoderma terrei,Cystoderma,terrei,"Aproximadamente 4.770 resultados (0,36 segundos) ",4770.0
Cystodermella ambrosii,Cystodermella,ambrosii,"Aproximadamente 31 resultados (0,29 segundos) ",0.0
Cystodermella cinnabarina,Cystodermella,cinnabarina,"Aproximadamente 12.900 resultados (0,39 segundos) ",12900.0
Cystodermella granulosa,Cystodermella,granulosa,"Aproximadamente 20.600 resultados (0,37 segundos) ",20600.0
Cystolepiota fumosifolia,Cystolepiota,fumosifolia,"Aproximadamente 2.040 resultados (0,41 segundos) ",2040.0
Cystolepiota hetieri,Cystolepiota,hetieri,"Aproximadamente 15.700 resultados (0,45 segundos) ",15700.0
Cystolepiota seminuda,Cystolepiota,seminuda,"Aproximadamente 12.900 resultados (0,47 segundos) ",12900.0
Cyttaria espinosae,Cyttaria,espinosae,"Aproximadamente 11.900 resultados (0,67 segundos) ",11900.0
Dacrymyces chrysospermus,Dacrymyces,chrysospermus,"Aproximadamente 77.000 resultados (0,38 segundos) ",77000.0
Dacrymyces stillatus,Dacrymyces,stillatus,"Aproximadamente 24.400 resultados (0,37 segundos) ",24400.0
Dactylosporina kuehneri,Dactylosporina,kuehneri,"Aproximadamente 229 resultados (0,44 segundos) ",0.0
Daedalea quercina,Daedalea,quercina,"Aproximadamente 69.600 resultados (0,57 segundos) ",69600.0
Daedaleopsis confragosa,Daedaleopsis,confragosa,"Aproximadamente 52.800 resultados (0,51 segundos) ",52800.0
Daldinia concentrica,Daldinia,concentrica,"Aproximadamente 97.300 resultados (0,34 segundos) ",97300.0
Daldinia vernicosa,Daldinia,vernicosa,"Aproximadamente 8.040 resultados (0,40 segundos) ",8040.0
Dasyscyphella nivea,Dasyscyphella,nivea,"Aproximadamente 6.420 resultados (0,51 segundos) ",6420.0
Datronia mollis,Datronia,mollis,"Aproximadamente 64.200 resultados (0,37 segundos) ",64200.0
Delastria rosea,Delastria,rosea,"Aproximadamente 3.460 resultados (0,50 segundos) ",3460.0
Delicatula cuspidata,Delicatula,cuspidata,"Aproximadamente 65.200 resultados (0,32 segundos) ",65200.0
Delicatula integrella,Delicatula,integrella,"Aproximadamente 28.800 resultados (0,34 segundos) ",28800.0
Dendropolyporus umbellatus,Dendropolyporus,umbellatus,"Aproximadamente 6.700 resultados (0,34 segundos) ",6700.0
Dermocybe bataillei,Dermocybe,bataillei,"Aproximadamente 10.700 resultados (0,36 segundos) ",10700.0
Dermocybe cinnabarina,Dermocybe,cinnabarina,"Aproximadamente 35.400 resultados (0,32 segundos) ",35400.0
Dermocybe cinnamomea,Dermocybe,cinnamomea,"Aproximadamente 70.000 resultados (0,34 segundos) ",70000.0
Dermocybe cinnamomeolutea,Dermocybe,cinnamomeolutea,"Aproximadamente 2.310 resultados (0,36 segundos) ",2310.0
Dermocybe crocea,Dermocybe,crocea,"Aproximadamente 210.000 resultados (0,30 segundos) ",210000.0
Dermocybe phoenicea,Dermocybe,phoenicea,"Aproximadamente 28.100 resultados (0,37 segundos) ",28100.0
Dermocybe sanguinea,Dermocybe,sanguinea,"Aproximadamente 71.600 resultados (0,37 segundos) ",71600.0
Dermocybe semisanguinea,Dermocybe,semisanguinea,"Aproximadamente 5.000 resultados (0,38 segundos) ",5000.0
Dermocybe uliginosa,Dermocybe,uliginosa,"Aproximadamente 49.000 resultados (0,39 segundos) ",49000.0
Dermoloma cuneifolium,Dermoloma,cuneifolium,"Aproximadamente 16.700 resultados (0,74 segundos) ",16700.0
Descolea maculata,Descolea,maculata,"Aproximadamente 3.420 resultados (0,43 segundos) ",3420.0
Descolea tenuipes,Descolea,tenuipes,"Aproximadamente 3.120 resultados (0,34 segundos) ",3120.0
Descomyces albus,Descomyces,albus,"Aproximadamente 3.920 resultados (0,48 segundos) ",3920.0
Diatrype disciformis,Diatrype,disciformis,"Aproximadamente 14.900 resultados (0,31 segundos) ",14900.0
Diatrype stigma,Diatrype,stigma,"Aproximadamente 28.000 resultados (0,63 segundos) ",28000.0
Diatrypella quercina,Diatrypella,quercina,"Aproximadamente 15.400 resultados (0,46 segundos) ",15400.0
Diatrypella verrucaeformis,Diatrypella,verrucaeformis,"Aproximadamente 3.140 resultados (0,66 segundos) ",3140.0
Dichomitus campestris,Dichomitus,campestris,"Aproximadamente 78.800 resultados (0,34 segundos) ",78800.0
Dictyocephalos attenuatus,Dictyocephalos,attenuatus,"Aproximadamente 2.760 resultados (0,49 segundos) ",2760.0
Discina ancilis,Discina,ancilis,"Aproximadamente 12.200 resultados (0,67 segundos) ",12200.0
Discina melaleuca,Discina,melaleuca,"Aproximadamente 43.400 resultados (0,45 segundos) ",43400.0
Discina perlata,Discina,perlata,"Aproximadamente 12.200 resultados (0,42 segundos) ",12200.0
Discinella terrestris,Discinella,terrestris,"Aproximadamente 4.360 resultados (0,48 segundos) ",4360.0
Disciotis venosa,Disciotis,venosa,"Aproximadamente 28.200 resultados (0,38 segundos) ",28200.0
Echinoderma asperum,Echinoderma,asperum,"Aproximadamente 41.000 resultados (0,40 segundos) ",41000.0
Echinoderma calcicola,Echinoderma,calcicola,"Aproximadamente 39.400 resultados (0,40 segundos) ",39400.0
Echinoderma hystrix,Echinoderma,hystrix,"Aproximadamente 231.000 resultados (0,37 segundos) ",231000.0
Elaphomyces asperulus,Elaphomyces,asperulus,"Aproximadamente 54.200 resultados (0,43 segundos) ",54200.0
Elaphomyces atropurpureus,Elaphomyces,atropurpureus,"Aproximadamente 1.480 resultados (0,38 segundos) ",1480.0
Elaphomyces citrinus,Elaphomyces,citrinus,"Aproximadamente 46.400 resultados (0,48 segundos) ",46400.0
Elaphomyces decipiens,Elaphomyces,decipiens,"Aproximadamente 63.200 resultados (0,39 segundos) ",63200.0
Elaphomyces foetidus,Elaphomyces,foetidus,"Aproximadamente 6.460 resultados (0,33 segundos) ",6460.0
Elaphomyces granulatus,Elaphomyces,granulatus,"Aproximadamente 93.100 resultados (0,38 segundos) ",93100.0
Elaphomyces muricatus,Elaphomyces,muricatus,"Aproximadamente 48.600 resultados (0,32 segundos) ",48600.0
Elaphomyces papillatus,Elaphomyces,papillatus,"Aproximadamente 4.070 resultados (0,37 segundos) ",4070.0
Elaphomyces persoonii,Elaphomyces,persoonii,"Aproximadamente 6.110 resultados (0,40 segundos) ",6110.0
Endogone flammicorona,Endogone,flammicorona,"Aproximadamente 8.090 resultados (0,53 segundos) ",8090.0
Endogone lactiflua,Endogone,lactiflua,"Aproximadamente 8.270 resultados (0,43 segundos) ",8270.0
Endoptychum agaricoides,Endoptychum,agaricoides,"Aproximadamente 8.100 resultados (0,38 segundos) ",8100.0
Enteridium lycoperdon,Enteridium,lycoperdon,"Aproximadamente 22.500 resultados (0,39 segundos) ",22500.0
Entoloma albidum,Entoloma,albidum,"Aproximadamente 56.700 resultados (0,47 segundos) ",56700.0
Entoloma aprile,Entoloma,aprile,"Aproximadamente 56.700 resultados (0,36 segundos) ",56700.0
Entoloma cephalotrichum,Entoloma,cephalotrichum,"Aproximadamente 4.980 resultados (0,73 segundos) ",4980.0
Entoloma cetratum,Entoloma,cetratum,"Aproximadamente 12.600 resultados (0,40 segundos) ",12600.0
Entoloma chalybaeum,Entoloma,chalybaeum,"Aproximadamente 7.590 resultados (0,32 segundos) ",7590.0
Entoloma clypeatum,Entoloma,clypeatum,"Aproximadamente 40.200 resultados (0,40 segundos) ",40200.0
Entoloma conferendum,Entoloma,conferendum,"Aproximadamente 8.710 resultados (0,34 segundos) ",8710.0
Entoloma corvinum,Entoloma,corvinum,"Aproximadamente 8.570 resultados (0,35 segundos) ",8570.0
Entoloma euchroum,Entoloma,euchroum,"Aproximadamente 10.100 resultados (0,36 segundos) ",10100.0
Entoloma giseocyaneum,Entoloma,giseocyaneum,"Aproximadamente 1.040 resultados (0,30 segundos) ",1040.0
Entoloma hebes,Entoloma,hebes,"Aproximadamente 106.000 resultados (0,37 segundos) ",106000.0
Entoloma hirtipes,Entoloma,hirtipes,"Aproximadamente 19.800 resultados (0,36 segundos) ",19800.0
Entoloma incanum,Entoloma,incanum,"Aproximadamente 29.300 resultados (0,40 segundos) ",29300.0
Entoloma lividum,Entoloma,lividum,"Aproximadamente 25.900 resultados (0,33 segundos) ",25900.0
Entoloma nidorosum,Entoloma,nidorosum,"Aproximadamente 13.700 resultados (0,41 segundos) ",13700.0
Entoloma niphoides,Entoloma,niphoides,"Aproximadamente 5.120 resultados (0,36 segundos) ",5120.0
Entoloma opacum,Entoloma,opacum,"Aproximadamente 45.000 resultados (0,43 segundos) ",45000.0
Entoloma pallescens,Entoloma,pallescens,"Aproximadamente 69.900 resultados (0,74 segundos) ",69900.0
Entoloma papillatum,Entoloma,papillatum,"Aproximadamente 52.200 resultados (0,38 segundos) ",52200.0
Entoloma porphyrophaeum,Entoloma,porphyrophaeum,"Aproximadamente 7.890 resultados (0,36 segundos) ",7890.0
Entoloma prunuloides,Entoloma,prunuloides,"Aproximadamente 12.700 resultados (0,43 segundos) ",12700.0
Entoloma rhodopolium,Entoloma,rhodopolium,"Aproximadamente 30.700 resultados (0,45 segundos) ",30700.0
Entoloma sarcopum,Entoloma,sarcopum,"Aproximadamente 1.660 resultados (0,46 segundos) ",1660.0
Entoloma sepium,Entoloma,sepium,"Aproximadamente 147.000 resultados (0,34 segundos) ",147000.0
Entoloma sericellum,Entoloma,sericellum,"Aproximadamente 20.200 resultados (0,44 segundos) ",20200.0
Entoloma sericeum,Entoloma,sericeum,"Aproximadamente 26.000 resultados (0,37 segundos) ",26000.0
Entoloma serrulatum,Entoloma,serrulatum,"Aproximadamente 64.300 resultados (0,37 segundos) ",64300.0
Entoloma sinuatum,Entoloma,sinuatum,"Aproximadamente 37.500 resultados (0,35 segundos) ",37500.0
Entoloma tjallingiorum,Entoloma,tjallingiorum,"Aproximadamente 5.900 resultados (0,45 segundos) ",5900.0
Entoloma vernum,Entoloma,vernum,"Aproximadamente 28.000 resultados (0,55 segundos) ",28000.0
Exidia glandulosa,Exidia,glandulosa,"Aproximadamente 92.900 resultados (0,51 segundos) ",92900.0
Exidia pithya,Exidia,pithya,"Aproximadamente 40.100 resultados (0,38 segundos) ",40100.0
Exidia plana,Exidia,plana,"Aproximadamente 55.100 resultados (0,58 segundos) ",55100.0
Exidia recisa,Exidia,recisa,"Aproximadamente 53.400 resultados (0,45 segundos) ",53400.0
Exidia saccharina,Exidia,saccharina,"Aproximadamente 46.600 resultados (0,66 segundos) ",46600.0
Exidia thuretiana,Exidia,thuretiana,"Aproximadamente 74.500 resultados (0,60 segundos) ",74500.0
Exidia truncata,Exidia,truncata,"Aproximadamente 70.100 resultados (0,41 segundos) ",70100.0
Fistulina hepatica,Fistulina,hepatica,"Aproximadamente 193.000 resultados (0,39 segundos) ",193000.0
Flammulaster carpophilus,Flammulaster,carpophilus,"Aproximadamente 6.010 resultados (0,39 segundos) ",6010.0
Flammulaster ferrugineus,Flammulaster,ferrugineus,"Aproximadamente 5.780 resultados (0,36 segundos) ",5780.0
Flammulaster limulatus,Flammulaster,limulatus,"Aproximadamente 6.970 resultados (0,49 segundos) ",6970.0
Flammulina velutipes,Flammulina,velutipes,"Aproximadamente 413.000 resultados (0,39 segundos) ",413000.0
Fomes fomentarius,Fomes,fomentarius,"Aproximadamente 268.000 resultados (0,42 segundos) ",268000.0
Fomitopsis betulina,Fomitopsis,betulina,"Aproximadamente 74.800 resultados (0,39 segundos) ",74800.0
